"","n.obs","year","sim","segment"
"98","8","10","1",38
"99","9","10","1",37
"100","10","10","1",36
"101","1","1","2",12
"102","2","1","2",15
"103","3","1","2",22
"104","4","1","2",23
"105","5","1","2",24
"106","6","1","2",27
"107","7","1","2",33
"108","8","1","2",36
"109","9","1","2",39
"110","10","1","2",45
"111","1","2","2",43
"112","2","2","2",44
"113","3","2","2",45
"114","4","2","2",46
"115","5","2","2",47
"116","6","2","2",48
"117","7","2","2",49
"118","8","2","2",50
"119","9","2","2",38
"120","10","2","2",40
"121","1","3","2",45
"122","2","3","2",44
"123","3","3","2",43
"124","4","3","2",42
"125","5","3","2",41
"126","6","3","2",40
"127","7","3","2",39
"128","8","3","2",38
"129","9","3","2",37
"130","10","3","2",36
"131","1","4","2",46
"132","2","4","2",47
"133","3","4","2",48
"134","4","4","2",49
"135","5","4","2",50
"136","6","4","2",42
"137","7","4","2",39
"138","8","4","2",38
"139","9","4","2",37
"140","10","4","2",36
"141","1","5","2",50
"142","2","5","2",40
"143","3","5","2",41
"144","4","5","2",43
"145","5","5","2",44
"146","6","5","2",45
"147","7","5","2",46
"148","8","5","2",48
"149","9","5","2",37
"150","10","5","2",36
"151","1","6","2",47
"152","2","6","2",49
"153","3","6","2",43
"154","4","6","2",42
"155","5","6","2",41
"156","6","6","2",40
"157","7","6","2",39
"158","8","6","2",38
"159","9","6","2",37
"160","10","6","2",36
"161","1","7","2",50
"162","2","7","2",42
"163","3","7","2",44
"164","4","7","2",45
"165","5","7","2",46
"166","6","7","2",48
"167","7","7","2",39
"168","8","7","2",38
"169","9","7","2",37
"170","10","7","2",36
"171","1","8","2",49
"172","2","8","2",50
"173","3","8","2",43
"174","4","8","2",47
"175","5","8","2",41
"176","6","8","2",40
"177","7","8","2",39
"178","8","8","2",38
"179","9","8","2",37
"180","10","8","2",36
"181","1","9","2",42
"182","2","9","2",44
"183","3","9","2",45
"184","4","9","2",46
"185","5","9","2",47
"186","6","9","2",48
"187","7","9","2",39
"188","8","9","2",38
"189","9","9","2",37
"190","10","9","2",36
"191","1","10","2",48
"192","2","10","2",49
"193","3","10","2",50
"194","4","10","2",40
"195","5","10","2",41
"196","6","10","2",42
"197","7","10","2",43
"198","8","10","2",46
"199","9","10","2",37
"200","10","10","2",36
"201","1","1","3",12
"202","2","1","3",15
"203","3","1","3",22
"204","4","1","3",23
"205","5","1","3",24
"206","6","1","3",27
"207","7","1","3",33
"208","8","1","3",36
"209","9","1","3",39
"210","10","1","3",45
"211","1","2","3",43
"212","2","2","3",46
"213","3","2","3",48
"214","4","2","3",49
"215","5","2","3",41
"216","6","2","3",40
"217","7","2","3",39
"218","8","2","3",38
"219","9","2","3",37
"220","10","2","3",36
"221","1","3","3",50
"222","2","3","3",39
"223","3","3","3",42
"224","4","3","3",43
"225","5","3","3",44
"226","6","3","3",45
"227","7","3","3",47
"228","8","3","3",48
"229","9","3","3",37
"230","10","3","3",36
"231","1","4","3",45
"232","2","4","3",46
"233","3","4","3",47
"234","4","4","3",48
"235","5","4","3",49
"236","6","4","3",50
"237","7","4","3",40
"238","8","4","3",41
"239","9","4","3",42
"240","10","4","3",43
"241","1","5","3",41
"242","2","5","3",42
"243","3","5","3",44
"244","4","5","3",45
"245","5","5","3",47
"246","6","5","3",48
"247","7","5","3",39
"248","8","5","3",38
"249","9","5","3",37
"250","10","5","3",36
"251","1","6","3",49
"252","2","6","3",50
"253","3","6","3",39
"254","4","6","3",40
"255","5","6","3",42
"256","6","6","3",43
"257","7","6","3",44
"258","8","6","3",46
"259","9","6","3",47
"260","10","6","3",36
"261","1","7","3",41
"262","2","7","3",43
"263","3","7","3",45
"264","4","7","3",46
"265","5","7","3",48
"266","6","7","3",49
"267","7","7","3",39
"268","8","7","3",38
"269","9","7","3",37
"270","10","7","3",36
"271","1","8","3",50
"272","2","8","3",40
"273","3","8","3",42
"274","4","8","3",44
"275","5","8","3",45
"276","6","8","3",47
"277","7","8","3",48
"278","8","8","3",38
"279","9","8","3",37
"280","10","8","3",36
"281","1","9","3",43
"282","2","9","3",46
"283","3","9","3",47
"284","4","9","3",49
"285","5","9","3",41
"286","6","9","3",40
"287","7","9","3",39
"288","8","9","3",38
"289","9","9","3",37
"290","10","9","3",36
"291","1","10","3",50
"292","2","10","3",41
"293","3","10","3",42
"294","4","10","3",44
"295","5","10","3",45
"296","6","10","3",48
"297","7","10","3",39
"298","8","10","3",38
"299","9","10","3",37
"300","10","10","3",36
"301","1","1","4",12
"302","2","1","4",15
"303","3","1","4",22
"304","4","1","4",23
"305","5","1","4",24
"306","6","1","4",27
"307","7","1","4",33
"308","8","1","4",36
"309","9","1","4",39
"310","10","1","4",45
"311","1","2","4",49
"312","2","2","4",44
"313","3","2","4",43
"314","4","2","4",42
"315","5","2","4",41
"316","6","2","4",40
"317","7","2","4",39
"318","8","2","4",38
"319","9","2","4",37
"320","10","2","4",36
"321","1","3","4",50
"322","2","3","4",45
"323","3","3","4",46
"324","4","3","4",47
"325","5","3","4",48
"326","6","3","4",40
"327","7","3","4",39
"328","8","3","4",38
"329","9","3","4",37
"330","10","3","4",36
"331","1","4","4",41
"332","2","4","4",42
"333","3","4","4",43
"334","4","4","4",44
"335","5","4","4",48
"336","6","4","4",49
"337","7","4","4",39
"338","8","4","4",38
"339","9","4","4",37
"340","10","4","4",36
"341","1","5","4",49
"342","2","5","4",50
"343","3","5","4",40
"344","4","5","4",42
"345","5","5","4",45
"346","6","5","4",46
"347","7","5","4",47
"348","8","5","4",38
"349","9","5","4",37
"350","10","5","4",36
"351","1","6","4",39
"352","2","6","4",40
"353","3","6","4",41
"354","4","6","4",43
"355","5","6","4",44
"356","6","6","4",45
"357","7","6","4",47
"358","8","6","4",48
"359","9","6","4",37
"360","10","6","4",36
"361","1","7","4",49
"362","2","7","4",50
"363","3","7","4",41
"364","4","7","4",42
"365","5","7","4",44
"366","6","7","4",46
"367","7","7","4",39
"368","8","7","4",38
"369","9","7","4",37
"370","10","7","4",36
"371","1","8","4",50
"372","2","8","4",40
"373","3","8","4",42
"374","4","8","4",43
"375","5","8","4",45
"376","6","8","4",47
"377","7","8","4",48
"378","8","8","4",38
"379","9","8","4",37
"380","10","8","4",36
"381","1","9","4",44
"382","2","9","4",46
"383","3","9","4",49
"384","4","9","4",42
"385","5","9","4",41
"386","6","9","4",40
"387","7","9","4",39
"388","8","9","4",38
"389","9","9","4",37
"390","10","9","4",36
"391","1","10","4",47
"392","2","10","4",48
"393","3","10","4",49
"394","4","10","4",50
"395","5","10","4",39
"396","6","10","4",41
"397","7","10","4",43
"398","8","10","4",44
"399","9","10","4",45
"400","10","10","4",36
"401","1","1","5",12
"402","2","1","5",15
"403","3","1","5",22
"404","4","1","5",23
"405","5","1","5",24
"406","6","1","5",27
"407","7","1","5",33
"408","8","1","5",36
"409","9","1","5",39
"410","10","1","5",45
"411","1","2","5",40
"412","2","2","5",41
"413","3","2","5",43
"414","4","2","5",44
"415","5","2","5",47
"416","6","2","5",48
"417","7","2","5",49
"418","8","2","5",38
"419","9","2","5",37
"420","10","2","5",36
"421","1","3","5",50
"422","2","3","5",45
"423","3","3","5",46
"424","4","3","5",42
"425","5","3","5",41
"426","6","3","5",40
"427","7","3","5",39
"428","8","3","5",38
"429","9","3","5",37
"430","10","3","5",36
"431","1","4","5",43
"432","2","4","5",44
"433","3","4","5",45
"434","4","4","5",47
"435","5","4","5",48
"436","6","4","5",49
"437","7","4","5",39
"438","8","4","5",38
"439","9","4","5",37
"440","10","4","5",36
"441","1","5","5",50
"442","2","5","5",46
"443","3","5","5",48
"444","4","5","5",42
"445","5","5","5",41
"446","6","5","5",40
"447","7","5","5",39
"448","8","5","5",38
"449","9","5","5",37
"450","10","5","5",36
"451","1","6","5",40
"452","2","6","5",41
"453","3","6","5",43
"454","4","6","5",44
"455","5","6","5",45
"456","6","6","5",47
"457","7","6","5",49
"458","8","6","5",38
"459","9","6","5",37
"460","10","6","5",36
"461","1","7","5",48
"462","2","7","5",49
"463","3","7","5",50
"464","4","7","5",42
"465","5","7","5",45
"466","6","7","5",46
"467","7","7","5",39
"468","8","7","5",38
"469","9","7","5",37
"470","10","7","5",36
"471","1","8","5",39
"472","2","8","5",40
"473","3","8","5",41
"474","4","8","5",42
"475","5","8","5",43
"476","6","8","5",44
"477","7","8","5",47
"478","8","8","5",48
"479","9","8","5",37
"480","10","8","5",36
"481","1","9","5",49
"482","2","9","5",50
"483","3","9","5",45
"484","4","9","5",46
"485","5","9","5",41
"486","6","9","5",40
"487","7","9","5",39
"488","8","9","5",38
"489","9","9","5",37
"490","10","9","5",36
"491","1","10","5",46
"492","2","10","5",47
"493","3","10","5",48
"494","4","10","5",49
"495","5","10","5",50
"496","6","10","5",42
"497","7","10","5",43
"498","8","10","5",44
"499","9","10","5",37
"500","10","10","5",36
