"","n.obs","year","sim","segment"
"397","7","10","4",27
"398","8","10","4",33
"399","9","10","4",37
"400","10","10","4",44
"401","1","1","5",3
"402","2","1","5",5
"403","3","1","5",12
"404","4","1","5",21
"405","5","1","5",26
"406","6","1","5",34
"407","7","1","5",39
"408","8","1","5",41
"409","9","1","5",42
"410","10","1","5",49
"411","1","2","5",7
"412","2","2","5",9
"413","3","2","5",15
"414","4","2","5",21
"415","5","2","5",34
"416","6","2","5",39
"417","7","2","5",41
"418","8","2","5",42
"419","9","2","5",44
"420","10","2","5",48
"421","1","3","5",4
"422","2","3","5",7
"423","3","3","5",11
"424","4","3","5",12
"425","5","3","5",14
"426","6","3","5",20
"427","7","3","5",30
"428","8","3","5",36
"429","9","3","5",37
"430","10","3","5",44
"431","1","4","5",4
"432","2","4","5",9
"433","3","4","5",11
"434","4","4","5",23
"435","5","4","5",25
"436","6","4","5",31
"437","7","4","5",32
"438","8","4","5",37
"439","9","4","5",39
"440","10","4","5",44
"441","1","5","5",1
"442","2","5","5",2
"443","3","5","5",4
"444","4","5","5",8
"445","5","5","5",15
"446","6","5","5",33
"447","7","5","5",35
"448","8","5","5",42
"449","9","5","5",46
"450","10","5","5",47
"451","1","6","5",1
"452","2","6","5",9
"453","3","6","5",16
"454","4","6","5",17
"455","5","6","5",22
"456","6","6","5",23
"457","7","6","5",33
"458","8","6","5",36
"459","9","6","5",47
"460","10","6","5",50
"461","1","7","5",17
"462","2","7","5",22
"463","3","7","5",23
"464","4","7","5",27
"465","5","7","5",28
"466","6","7","5",31
"467","7","7","5",35
"468","8","7","5",38
"469","9","7","5",39
"470","10","7","5",45
"471","1","8","5",12
"472","2","8","5",15
"473","3","8","5",16
"474","4","8","5",19
"475","5","8","5",24
"476","6","8","5",28
"477","7","8","5",35
"478","8","8","5",36
"479","9","8","5",43
"480","10","8","5",46
"481","1","9","5",1
"482","2","9","5",7
"483","3","9","5",9
"484","4","9","5",10
"485","5","9","5",21
"486","6","9","5",24
"487","7","9","5",29
"488","8","9","5",34
"489","9","9","5",36
"490","10","9","5",41
"491","1","10","5",5
"492","2","10","5",6
"493","3","10","5",9
"494","4","10","5",17
"495","5","10","5",23
"496","6","10","5",28
"497","7","10","5",35
"498","8","10","5",36
"499","9","10","5",37
"500","10","10","5",46
