"","n.obs","year","sim","segment"
"160",6,6,6,47
"161",6,6,6,1
"162",6,6,6,10
"163",6,6,6,22
"164",6,6,6,24
"165",6,6,6,28
"166",6,6,6,33
"167",6,6,6,37
"168",6,6,6,39
"169",6,6,6,43
"170",6,6,6,49
"171",6,6,6,2
"172",6,6,6,3
"173",6,6,6,6
"174",6,6,6,16
"175",6,6,6,18
"176",6,6,6,21
"177",6,6,6,32
"178",6,6,6,46
"179",6,6,6,48
"180",6,6,6,49
"181",6,6,6,3
"182",6,6,6,11
"183",6,6,6,17
"184",6,6,6,24
"185",6,6,6,27
"186",6,6,6,29
"187",6,6,6,33
"188",6,6,6,37
"189",6,6,6,38
"190",6,6,6,44
"191",6,6,6,3
"192",6,6,6,7
"193",6,6,6,9
"194",6,6,6,18
"195",6,6,6,20
"196",6,6,6,21
"197",6,6,6,22
"198",6,6,6,23
"199",6,6,6,30
"200",6,6,6,43
"201",6,6,6,2
"202",6,6,6,9
"203",6,6,6,13
"204",6,6,6,18
"205",6,6,6,23
"206",6,6,6,32
"207",6,6,6,40
"208",6,6,6,41
"209",6,6,6,42
"210",6,6,6,48
"211",6,6,6,14
"212",6,6,6,18
"213",6,6,6,22
"214",6,6,6,25
"215",6,6,6,27
"216",6,6,6,29
"217",6,6,6,32
"218",6,6,6,33
"219",6,6,6,39
"220",6,6,6,44
"221",6,6,6,2
"222",6,6,6,3
"223",6,6,6,8
"224",6,6,6,9
"225",6,6,6,10
"226",6,6,6,15
"227",6,6,6,26
"228",6,6,6,32
"229",6,6,6,48
"230",6,6,6,50
"231",6,6,6,13
"232",6,6,6,25
"233",6,6,6,26
"234",6,6,6,28
"235",6,6,6,33
"236",6,6,6,34
"237",6,6,6,39
"238",6,6,6,43
"239",6,6,6,44
"240",6,6,6,47
"241",6,6,6,5
"242",6,6,6,9
"243",6,6,6,14
"244",6,6,6,21
"245",6,6,6,24
"246",6,6,6,31
"247",6,6,6,33
"248",6,6,6,38
"249",6,6,6,45
"250",6,6,6,50
"251",6,6,6,2
"252",6,6,6,14
"253",6,6,6,19
"254",6,6,6,20
"255",6,6,6,35
"256",6,6,6,39
"257",6,6,6,43
"258",6,6,6,45
"259",6,6,6,46
"260",6,6,6,50
"261",6,6,6,2
"262",6,6,6,7
"263",6,6,6,8
"264",6,6,6,14
"265",6,6,6,21
"266",6,6,6,23
"267",6,6,6,25
"268",6,6,6,26
"269",6,6,6,32
"270",6,6,6,35
"271",6,6,6,8
"272",6,6,6,9
"273",6,6,6,13
"274",6,6,6,23
"275",6,6,6,29
"276",6,6,6,33
"277",6,6,6,34
"278",6,6,6,46
"279",6,6,6,47
"280",6,6,6,49
"281",6,6,6,9
"282",6,6,6,11
"283",6,6,6,14
"284",6,6,6,21
"285",6,6,6,28
"286",6,6,6,33
"287",6,6,6,38
"288",6,6,6,41
"289",6,6,6,42
"290",6,6,6,45
"291",6,6,6,2
"292",6,6,6,15
"293",6,6,6,20
"294",6,6,6,25
"295",6,6,6,27
"296",6,6,6,35
"297",6,6,6,37
"298",6,6,6,42
"299",6,6,6,47
"300",6,6,6,50
"301",6,6,6,2
"302",6,6,6,9
"303",6,6,6,13
"304",6,6,6,18
"305",6,6,6,23
"306",6,6,6,32
"307",6,6,6,40
"308",6,6,6,41
"309",6,6,6,42
"310",6,6,6,48
"311",6,6,6,3
"312",6,6,6,4
"313",6,6,6,15
"314",6,6,6,19
"315",6,6,6,20
"316",6,6,6,21
"317",6,6,6,37
"318",6,6,6,39
"319",6,6,6,40
"320",6,6,6,44
"321",6,6,6,2
"322",6,6,6,7
"323",6,6,6,8
"324",6,6,6,11
"325",6,6,6,18
"326",6,6,6,25
"327",6,6,6,38
"328",6,6,6,41
"329",6,6,6,48
"330",6,6,6,50
"331",6,6,6,9
"332",6,6,6,10
"333",6,6,6,11
"334",6,6,6,14
"335",6,6,6,17
"336",6,6,6,18
"337",6,6,6,24
"338",6,6,6,41
"339",6,6,6,44
"340",6,6,6,46
"341",6,6,6,7
"342",6,6,6,13
"343",6,6,6,25
"344",6,6,6,28
"345",6,6,6,29
"346",6,6,6,30
"347",6,6,6,39
"348",6,6,6,40
"349",6,6,6,43
"350",6,6,6,44
"351",6,6,6,1
"352",6,6,6,10
"353",6,6,6,12
"354",6,6,6,17
"355",6,6,6,25
"356",6,6,6,37
"357",6,6,6,39
"358",6,6,6,43
"359",6,6,6,49
"360",6,6,6,50
"361",6,6,6,11
"362",6,6,6,14
"363",6,6,6,17
"364",6,6,6,22
"365",6,6,6,27
"366",6,6,6,32
"367",6,6,6,36
"368",6,6,6,46
"369",6,6,6,48
"370",6,6,6,49
"371",6,6,6,7
"372",6,6,6,8
"373",6,6,6,13
"374",6,6,6,20
"375",6,6,6,26
"376",6,6,6,34
"377",6,6,6,36
"378",6,6,6,39
"379",6,6,6,43
"380",6,6,6,49
"381",6,6,6,1
"382",6,6,6,4
"383",6,6,6,10
"384",6,6,6,15
"385",6,6,6,17
"386",6,6,6,18
"387",6,6,6,25
"388",6,6,6,27
"389",6,6,6,45
"390",6,6,6,49
"391",6,6,6,3
"392",6,6,6,5
"393",6,6,6,14
"394",6,6,6,20
"395",6,6,6,23
"396",6,6,6,24
"397",6,6,6,26
"398",6,6,6,28
"399",6,6,6,29
"400",6,6,6,34
"401",6,6,6,2
"402",6,6,6,9
"403",6,6,6,13
"404",6,6,6,18
"405",6,6,6,23
"406",6,6,6,32
"407",6,6,6,40
"408",6,6,6,41
"409",6,6,6,42
"410",6,6,6,48
"411",6,6,6,3
"412",6,6,6,4
"413",6,6,6,7
"414",6,6,6,13
"415",6,6,6,17
"416",6,6,6,29
"417",6,6,6,30
"418",6,6,6,33
"419",6,6,6,36
"420",6,6,6,43
"421",6,6,6,3
"422",6,6,6,5
"423",6,6,6,13
"424",6,6,6,17
"425",6,6,6,24
"426",6,6,6,27
"427",6,6,6,29
"428",6,6,6,38
"429",6,6,6,44
"430",6,6,6,47
"431",6,6,6,3
"432",6,6,6,4
"433",6,6,6,7
"434",6,6,6,19
"435",6,6,6,20
"436",6,6,6,26
"437",6,6,6,28
"438",6,6,6,33
"439",6,6,6,36
"440",6,6,6,42
"441",6,6,6,11
"442",6,6,6,12
"443",6,6,6,21
"444",6,6,6,24
"445",6,6,6,25
"446",6,6,6,26
"447",6,6,6,33
"448",6,6,6,35
"449",6,6,6,37
"450",6,6,6,41
"451",6,6,6,1
"452",6,6,6,11
"453",6,6,6,13
"454",6,6,6,15
"455",6,6,6,23
"456",6,6,6,35
"457",6,6,6,43
"458",6,6,6,44
"459",6,6,6,46
"460",6,6,6,50
"461",6,6,6,3
"462",6,6,6,14
"463",6,6,6,19
"464",6,6,6,21
"465",6,6,6,26
"466",6,6,6,31
"467",6,6,6,34
"468",6,6,6,35
"469",6,6,6,43
"470",6,6,6,49
"471",6,6,6,4
"472",6,6,6,8
"473",6,6,6,9
"474",6,6,6,21
"475",6,6,6,24
"476",6,6,6,29
"477",6,6,6,32
"478",6,6,6,38
"479",6,6,6,45
"480",6,6,6,50
"481",6,6,6,4
"482",6,6,6,10
"483",6,6,6,11
"484",6,6,6,16
"485",6,6,6,21
"486",6,6,6,24
"487",6,6,6,32
"488",6,6,6,41
"489",6,6,6,42
"490",6,6,6,47
"491",6,6,6,3
"492",6,6,6,4
"493",6,6,6,13
"494",6,6,6,16
"495",6,6,6,22
"496",6,6,6,26
"497",6,6,6,39
"498",6,6,6,41
"499",6,6,6,46
"500",6,6,6,48
